geoid,cong_dist_id
360811017004000,3
360811017004001,3
360811017004002,3
360811017005000,3
360811017005001,3
360811017005002,3
360811017005003,3
360811017005004,3
360811017005005,3
360811017005006,3
360811017005007,3
360811017005008,3
360811017005009,3
360811017005010,3
360811017005011,3
360811017005012,3
360811017005013,3
360811017006000,3
360811017006001,3
360811017006002,3
360811017006003,3
360811017006004,3
360811017006005,3
360811017006006,3
360811017006007,3
360811017006008,3
360811017006009,3
360811017006010,3
360811017007000,3
360811017007001,3
360811017007002,3
360811017007003,3
360811017007004,3
360811029001000,3
360811029001001,3
360811029001002,3
360811029001003,3
360811029001004,3
360811029001005,3
360811029001006,3
360811029001007,3
360811029001008,3
360811029001009,3
360811029001010,3
360811029001011,3
360811029001012,3
360811029001013,3
360811029001014,3
360811029001015,3
360811029001016,3
360811029001017,3
360811029001018,3
360811029001019,3
360811029001020,3
360811029001021,3
360811029001022,3
360811029001023,3
360811029001024,3
360811029001025,3
360811029002000,3
360811029002001,3
360811029002002,3
360811029002003,3
360811029002004,3
360811029002005,3
360811029002006,3
360811029002007,3
360811029002008,3
360811033001000,3
360811033001001,3
360811033001002,3
360811033001003,3
360811033001004,3
360811033001005,3
360811033001006,3
360811033001007,3
360811033001008,3
360811033001009,3
360811033002000,3
360811033002001,3
360811033002002,3
360811033002003,3
360811033002004,3
360811033002005,3
360811033002006,3
360811033002007,3
360811033002008,3
360811033003000,3
360811033003001,3
360811033003002,3
360811033003003,3
360811033003004,3
360811033003005,3
360811033003006,3
360811033003007,3
360811033003008,3
360811033003009,3
360811033004000,3
360811033004001,3
360811033004002,3
360811033004003,3
360811033004004,3
360811033004005,3
360811033004006,3
360811033004007,3
360811033004008,3
360811033004009,3
360811039001000,3
360811039001001,3
360811039001002,3
360811039001003,3
360811039001004,3
360811039001005,3
360811039001006,3
360811039001007,3
360811039001008,3
360811039001009,3
360811039001010,3
360811039001011,3
360811039001012,3
360811039002000,3
360811039002001,3
360811039002002,3
360811039002003,3
360811039002004,3
360811039002005,3
360811039002006,3
360811039002007,3
360811039002008,3
360811039002009,3
360811039002010,3
360811039002011,3
360811039002012,3
360811039002013,3
360811039003000,3
360811039003001,3
360811039003002,3
360811039003003,3
360811039003004,3
360811039003005,3
360811039003006,3
360811039003007,3
360811039003008,3
360811039003009,3
360811039003010,3
360811039003011,3
360811039003012,3
360811039003013,3
360811039003014,3
360811039004000,3
360811039004001,3
360811039004002,3
360811039004003,3
360811039004004,3
360811039004005,3
360811039004006,3
360811039004007,3
360811039004008,3
360811039004009,3
360811039004010,3
360811039004011,3
360811039004012,3
360811039004013,3
360811039004014,3
360811039004015,3
360811059004003,3
360811059004004,3
360811059004014,3
360811059004015,3
360811093002000,3
360811093002001,3
360811093002002,3
360811113001000,3
360811301001000,3
360811301001001,3
360811301001002,3
360811301001003,3
360811301001004,3
360811301001005,3
360811301001006,3
360811301001007,3
360811301001008,3
360811301001009,3
360811301001010,3
360811301002000,3
360811301002001,3
360811301002002,3
360811301002003,3
360811301002004,3
360811301003000,3
360811301003001,3
360811301003002,3
360811301003003,3
360811301003004,3
360811301003005,3
360811301003006,3
360811301003007,3
360811301003008,3
360811301003009,3
360811301003010,3
360811301004000,3
360811301004001,3
360811301004002,3
360811301004003,3
360811301004004,3
360811385021000,3
360811385021002,3
360811385021004,3
360811385021006,3
360811385021007,3
360811385021009,3
360811385021010,3
360811385021011,3
360811385021012,3
360811385021013,3
360811385021014,3
360811385021015,3
360811385021016,3
360811385021017,3
360811385021018,3
360811385021019,3
360811385021020,3
360811385021021,3
360811385021025,3
360811385021026,3
360811385021029,3
360811385021034,3
360811385021036,3
360811385021037,3
360811479001000,3
360811479001001,3
360811479001002,3
360811479001003,3
360811479001004,3
360811479001005,3
360811479001006,3
360811479001007,3
360811479001008,3
360811479001009,3
360811479001010,3
360811479001011,3
360811479001012,3
360811479001013,3
360811479001014,3
360811479001015,3
360811479001016,3
360811479001017,3
360811479001018,3
360811479001019,3
360811479002000,3
360811479002001,3
360811479002002,3
360811479002003,3
360811479002004,3
360811479002005,3
360811479002006,3
360811479002007,3
360811479002008,3
360811479002009,3
360811479002010,3
360811479002011,3
360811479002012,3
360811479002013,3
360811479003000,3
360811479003001,3
360811479003002,3
360811479003003,3
360811479003004,3
360811479003005,3
360811479003006,3
360811479003007,3
360811479003008,3
360811479003009,3
360811479003010,3
360811479003011,3
360811483000001,3
360811483001000,3
360811483001001,3
360811483001002,3
360811483001003,3
360811483001004,3
360811483001005,3
360811483001006,3
360811483001007,3
360811483001008,3
360811483001009,3
360811483001010,3
360811483001011,3
360811483001012,3
360811483001013,3
360811483001014,3
360811483001015,3
360811483001016,3
360811483001017,3
360811483002000,3
360811483002001,3
360811483002002,3
360811483002003,3
360811483002004,3
360811483002005,3
360811483002006,3
360811483002007,3
360811483002008,3
360811483002009,3
360811483002010,3
360811483002011,3
360811483002012,3
360811483002013,3
360811483003000,3
360811483003001,3
360811483003002,3
360811483003003,3
360811483003004,3
360811483003005,3
360811483003006,3
360811483003007,3
360811483003008,3
360811483003009,3
360811483003010,3
360811483003011,3
360811483003012,3
360811483003013,3
360811483003014,3
360811483003015,3
360811483003016,3
360811483003017,3
360811483003018,3
360811483003019,3
360811483003020,3
360811483003021,3
360811483003022,3
360811483003023,3
360811483003024,3
360811483003025,3
360811483004000,3
360811483004001,3
360811483004002,3
360811483004003,3
360811483004004,3
360811483004005,3
360811483004006,3
360811483004007,3
360811483004008,3
360811483004009,3
360811483004010,3
360811483004011,3
360811483004012,3
360811483004013,3
360811483004014,3
360811483004015,3
360811483004016,3
360811483004017,3
360811483004018,3
360811483004019,3
360811507011000,3
360811507011001,3
360811507011002,3
360811507011003,3
360811507011004,3
360811507011005,3
360811507011006,3
360811507011007,3
360811507011008,3
360811507011009,3
360811507011010,3
360811507011011,3
360811507011012,3
360811507011013,3
360811507011014,3
360811507011015,3
360811507011016,3
360811507011017,3
360811507012000,3
360811507012001,3
360811507012002,3
360811507012003,3
360811507012004,3
360811507012005,3
360811507012006,3
360811507012007,3
360811507012008,3
360811507012009,3
360811507012010,3
360811507012011,3
360811507012012,3
360811507012013,3
360811507012014,3
360811507012015,3
360811507012016,3
360811507012017,3
360811507012018,3
360811507012019,3
360811507012020,3
360811507012021,3
360811507012022,3
360811507012023,3
360811507013000,3
360811507013001,3
360811507013002,3
360811507013003,3
360811507013004,3
360811507013005,3
360811507013006,3
360811507013007,3
360811507013008,3
360811507013009,3
360811507013010,3
360811507013011,3
360811507021000,3
360811507021001,3
360811507021002,3
360811507021003,3
360811507021004,3
360811507021005,3
360811507021006,3
360811507021007,3
360811507021008,3
360811507021009,3
360811507021010,3
360811507021011,3
360811507022000,3
360811507022001,3
360811507022002,3
360811507022003,3
360811507022004,3
360811507022005,3
360811507022006,3
360811507022007,3
360811507022008,3
360811507022009,3
360811507022010,3
360811507022011,3
